origin,destination,old_distance,distance
YOW,YYZ,225,225
YPR,YVR,,469
YQB,YUL,,145
YQB,YVR,,2350
YQB,YYC,,1926
YQB,YYZ,454,453
YQM,YUL,,438
YQM,YYZ,749,748
YQR,YVR,828,827
YQR,YWG,330,
YQR,YXE,,148
YQR,YYC,411,411
YQR,YYZ,1259,1258
YQT,YWG,373,
YQT,YYZ,565,566
YQU,YYC,346,345
YQX,YYR,393,
YQX,YYZ,,1242
YQY,YUL,,660
YSJ,YUL,,381
YSJ,YYZ,686,685
YTS,YYZ,,347
YTZ,YUL,305,304
YUL,YVR,2288,2285
YUL,YWG,1128,1128
YUL,YYC,1866,1865
YUL,YYG,513,513
YUL,YYT,1003,1005
YUL,YYY,339,
YUL,YYZ,314,314
YUL,YZV,,476
YUL,ZBF,412,
YUL,ZRH,3726,3721
YVR,YWG,1158,1157
YVR,YXC,,334
YVR,YXE,749,748
YVR,YXJ,497,497
YVR,YXS,325,325
YVR,YXT,431,430
YVR,YXY,922,921
YVR,YYC,426,426
YVR,YYD,424,424
YVR,YYJ,38,
YVR,YYZ,2078,2076
YVR,YZF,976,975
YVR,YZP,,466
YVR,ZRH,,5156
YWG,YXE,438,
YWG,YYC,740,740
YWG,YYZ,933,933
YXE,YYC,322,322
YXE,YYZ,1371,1371
YXU,YYZ,,89
YYB,YYZ,185,
YYC,YYJ,451,451
YYC,YYZ,1670,1669
YYC,YZF,785,784
YYC,ZRH,4825,4825
YYG,YYZ,824,823
YYJ,YYZ,2094,2091
YYR,YYT,513,
YYT,YYZ,1316,1317
YYZ,YZF,,1899
YYZ,ZAG,4395,
YYZ,ZRH,4034,4028
